RolePrivileges
type,data-set,entityid,permission,role
RolePrivilege,0,default_data:1,acctchargesview,billing_clerical
RolePrivilege,0,default_data:2,acctchargesview,billing_manager
RolePrivilege,0,default_data:3,acctchargesview,commissions_admin
RolePrivilege,0,default_data:4,acctchargesview,finance_clerical
RolePrivilege,0,default_data:5,acctchargesview,finance_manager
RolePrivilege,0,default_data:6,acctchargesview,general_admin
RolePrivilege,0,default_data:7,acctchargesview,plan_admin
RolePrivilege,0,default_data:8,acctchargesview,rule_admin
RolePrivilege,0,default_data:9,acctchargesview,superuser
RolePrivilege,0,default_data:10,acctchargesview,underwriter
RolePrivilege,0,default_data:11,acctchargesview,user_admin
RolePrivilege,0,default_data:12,acctclose,billing_manager
RolePrivilege,0,default_data:13,acctclose,general_admin
RolePrivilege,0,default_data:14,acctclose,superuser
RolePrivilege,0,default_data:15,acctcntcreate,billing_clerical
RolePrivilege,0,default_data:16,acctcntcreate,billing_manager
RolePrivilege,0,default_data:17,acctcntcreate,finance_manager
RolePrivilege,0,default_data:18,acctcntcreate,general_admin
RolePrivilege,0,default_data:19,acctcntcreate,superuser
RolePrivilege,0,default_data:20,acctcntcreate,underwriter
RolePrivilege,0,default_data:21,acctcntdelete,billing_manager
RolePrivilege,0,default_data:22,acctcntdelete,general_admin
RolePrivilege,0,default_data:23,acctcntdelete,superuser
RolePrivilege,0,default_data:24,acctcntedit,billing_clerical
RolePrivilege,0,default_data:25,acctcntedit,billing_manager
RolePrivilege,0,default_data:26,acctcntedit,finance_manager
RolePrivilege,0,default_data:27,acctcntedit,general_admin
RolePrivilege,0,default_data:28,acctcntedit,superuser
RolePrivilege,0,default_data:29,acctcollview,billing_clerical
RolePrivilege,0,default_data:30,acctcollview,billing_manager
RolePrivilege,0,default_data:31,acctcollview,commissions_admin
RolePrivilege,0,default_data:32,acctcollview,finance_clerical
RolePrivilege,0,default_data:33,acctcollview,finance_manager
RolePrivilege,0,default_data:34,acctcollview,general_admin
RolePrivilege,0,default_data:35,acctcollview,plan_admin
RolePrivilege,0,default_data:36,acctcollview,rule_admin
RolePrivilege,0,default_data:37,acctcollview,superuser
RolePrivilege,0,default_data:38,acctcollview,underwriter
RolePrivilege,0,default_data:39,acctcollview,user_admin
RolePrivilege,0,default_data:40,acctcontview,billing_clerical
RolePrivilege,0,default_data:41,acctcontview,billing_manager
RolePrivilege,0,default_data:42,acctcontview,commissions_admin
RolePrivilege,0,default_data:43,acctcontview,finance_clerical
RolePrivilege,0,default_data:44,acctcontview,finance_manager
RolePrivilege,0,default_data:45,acctcontview,general_admin
RolePrivilege,0,default_data:46,acctcontview,plan_admin
RolePrivilege,0,default_data:47,acctcontview,rule_admin
RolePrivilege,0,default_data:48,acctcontview,superuser
RolePrivilege,0,default_data:49,acctcontview,underwriter
RolePrivilege,0,default_data:50,acctcontview,user_admin
RolePrivilege,0,default_data:51,acctcreate,billing_manager
RolePrivilege,0,default_data:52,acctcreate,general_admin
RolePrivilege,0,default_data:53,acctcreate,superuser
RolePrivilege,0,default_data:54,acctcreate,underwriter
RolePrivilege,0,default_data:55,acctdelview,billing_clerical
RolePrivilege,0,default_data:56,acctdelview,billing_manager
RolePrivilege,0,default_data:57,acctdelview,commissions_admin
RolePrivilege,0,default_data:58,acctdelview,finance_clerical
RolePrivilege,0,default_data:59,acctdelview,finance_manager
RolePrivilege,0,default_data:60,acctdelview,general_admin
RolePrivilege,0,default_data:61,acctdelview,plan_admin
RolePrivilege,0,default_data:62,acctdelview,rule_admin
RolePrivilege,0,default_data:63,acctdelview,superuser
RolePrivilege,0,default_data:64,acctdelview,underwriter
RolePrivilege,0,default_data:65,acctdelview,user_admin
RolePrivilege,0,default_data:66,acctdetedit,billing_manager
RolePrivilege,0,default_data:67,acctdetedit,general_admin
RolePrivilege,0,default_data:68,acctdetedit,superuser
RolePrivilege,0,default_data:69,acctdetedit,underwriter
RolePrivilege,0,default_data:70,acctdisbview,billing_clerical
RolePrivilege,0,default_data:71,acctdisbview,billing_manager
RolePrivilege,0,default_data:72,acctdisbview,commissions_admin
RolePrivilege,0,default_data:73,acctdisbview,finance_clerical
RolePrivilege,0,default_data:74,acctdisbview,finance_manager
RolePrivilege,0,default_data:75,acctdisbview,general_admin
RolePrivilege,0,default_data:76,acctdisbview,plan_admin
RolePrivilege,0,default_data:77,acctdisbview,rule_admin
RolePrivilege,0,default_data:78,acctdisbview,superuser
RolePrivilege,0,default_data:79,acctdisbview,underwriter
RolePrivilege,0,default_data:80,acctdisbview,user_admin
RolePrivilege,0,default_data:81,acctdocview,billing_clerical
RolePrivilege,0,default_data:82,acctdocview,billing_manager
RolePrivilege,0,default_data:83,acctdocview,commissions_admin
RolePrivilege,0,default_data:84,acctdocview,finance_clerical
RolePrivilege,0,default_data:85,acctdocview,finance_manager
RolePrivilege,0,default_data:86,acctdocview,general_admin
RolePrivilege,0,default_data:87,acctdocview,plan_admin
RolePrivilege,0,default_data:88,acctdocview,rule_admin
RolePrivilege,0,default_data:89,acctdocview,superuser
RolePrivilege,0,default_data:90,acctdocview,underwriter
RolePrivilege,0,default_data:91,acctdocview,user_admin
RolePrivilege,0,default_data:92,acctevalview,billing_clerical
RolePrivilege,0,default_data:93,acctevalview,billing_manager
RolePrivilege,0,default_data:94,acctevalview,commissions_admin
RolePrivilege,0,default_data:95,acctevalview,finance_clerical
RolePrivilege,0,default_data:96,acctevalview,finance_manager
RolePrivilege,0,default_data:97,acctevalview,general_admin
RolePrivilege,0,default_data:98,acctevalview,plan_admin
RolePrivilege,0,default_data:99,acctevalview,rule_admin
RolePrivilege,0,default_data:100,acctevalview,superuser
RolePrivilege,0,default_data:101,acctevalview,underwriter
RolePrivilege,0,default_data:102,acctevalview,user_admin
RolePrivilege,0,default_data:103,accthistview,billing_clerical
RolePrivilege,0,default_data:104,accthistview,billing_manager
RolePrivilege,0,default_data:105,accthistview,commissions_admin
RolePrivilege,0,default_data:106,accthistview,finance_clerical
RolePrivilege,0,default_data:107,accthistview,finance_manager
RolePrivilege,0,default_data:108,accthistview,general_admin
RolePrivilege,0,default_data:109,accthistview,plan_admin
RolePrivilege,0,default_data:110,accthistview,rule_admin
RolePrivilege,0,default_data:111,accthistview,superuser
RolePrivilege,0,default_data:112,accthistview,underwriter
RolePrivilege,0,default_data:113,accthistview,user_admin
RolePrivilege,0,default_data:114,acctignoresecurityzone,superuser
RolePrivilege,0,default_data:115,acctinvcview,billing_clerical
RolePrivilege,0,default_data:116,acctinvcview,billing_manager
RolePrivilege,0,default_data:117,acctinvcview,commissions_admin
RolePrivilege,0,default_data:118,acctinvcview,finance_clerical
RolePrivilege,0,default_data:119,acctinvcview,finance_manager
RolePrivilege,0,default_data:120,acctinvcview,general_admin
RolePrivilege,0,default_data:121,acctinvcview,plan_admin
RolePrivilege,0,default_data:122,acctinvcview,rule_admin
RolePrivilege,0,default_data:123,acctinvcview,superuser
RolePrivilege,0,default_data:124,acctinvcview,underwriter
RolePrivilege,0,default_data:125,acctinvcview,user_admin
RolePrivilege,0,default_data:126,acctjournalview,commissions_admin
RolePrivilege,0,default_data:127,acctjournalview,general_admin
RolePrivilege,0,default_data:128,acctjournalview,plan_admin
RolePrivilege,0,default_data:129,acctjournalview,rule_admin
RolePrivilege,0,default_data:130,acctjournalview,superuser
RolePrivilege,0,default_data:131,acctjournalview,user_admin
RolePrivilege,0,default_data:132,acctledgerview,commissions_admin
RolePrivilege,0,default_data:133,acctledgerview,general_admin
RolePrivilege,0,default_data:134,acctledgerview,plan_admin
RolePrivilege,0,default_data:135,acctledgerview,rule_admin
RolePrivilege,0,default_data:136,acctledgerview,superuser
RolePrivilege,0,default_data:137,acctledgerview,user_admin
RolePrivilege,0,default_data:138,acctnoteview,billing_clerical
RolePrivilege,0,default_data:139,acctnoteview,billing_manager
RolePrivilege,0,default_data:140,acctnoteview,commissions_admin
RolePrivilege,0,default_data:141,acctnoteview,finance_clerical
RolePrivilege,0,default_data:142,acctnoteview,finance_manager
RolePrivilege,0,default_data:143,acctnoteview,general_admin
RolePrivilege,0,default_data:144,acctnoteview,plan_admin
RolePrivilege,0,default_data:145,acctnoteview,rule_admin
RolePrivilege,0,default_data:146,acctnoteview,superuser
RolePrivilege,0,default_data:147,acctnoteview,underwriter
RolePrivilege,0,default_data:148,acctnoteview,user_admin
RolePrivilege,0,default_data:149,acctplcytx,billing_manager
RolePrivilege,0,default_data:150,acctplcytx,general_admin
RolePrivilege,0,default_data:151,acctplcytx,superuser
RolePrivilege,0,default_data:152,acctplcyview,billing_clerical
RolePrivilege,0,default_data:153,acctplcyview,billing_manager
RolePrivilege,0,default_data:154,acctplcyview,commissions_admin
RolePrivilege,0,default_data:155,acctplcyview,finance_clerical
RolePrivilege,0,default_data:156,acctplcyview,finance_manager
RolePrivilege,0,default_data:157,acctplcyview,general_admin
RolePrivilege,0,default_data:158,acctplcyview,plan_admin
RolePrivilege,0,default_data:159,acctplcyview,rule_admin
RolePrivilege,0,default_data:160,acctplcyview,superuser
RolePrivilege,0,default_data:161,acctplcyview,underwriter
RolePrivilege,0,default_data:162,acctplcyview,user_admin
RolePrivilege,0,default_data:163,acctpmntview,billing_clerical
RolePrivilege,0,default_data:164,acctpmntview,billing_manager
RolePrivilege,0,default_data:165,acctpmntview,commissions_admin
RolePrivilege,0,default_data:166,acctpmntview,finance_clerical
RolePrivilege,0,default_data:167,acctpmntview,finance_manager
RolePrivilege,0,default_data:168,acctpmntview,general_admin
RolePrivilege,0,default_data:169,acctpmntview,plan_admin
RolePrivilege,0,default_data:170,acctpmntview,rule_admin
RolePrivilege,0,default_data:171,acctpmntview,superuser
RolePrivilege,0,default_data:172,acctpmntview,underwriter
RolePrivilege,0,default_data:173,acctpmntview,user_admin
RolePrivilege,0,default_data:174,acctsearch,billing_clerical
RolePrivilege,0,default_data:175,acctsearch,billing_manager
RolePrivilege,0,default_data:176,acctsearch,commissions_admin
RolePrivilege,0,default_data:177,acctsearch,finance_clerical
RolePrivilege,0,default_data:178,acctsearch,finance_manager
RolePrivilege,0,default_data:179,acctsearch,general_admin
RolePrivilege,0,default_data:180,acctsearch,superuser
RolePrivilege,0,default_data:181,acctsearch,underwriter
RolePrivilege,0,default_data:182,acctsummview,billing_clerical
RolePrivilege,0,default_data:183,acctsummview,billing_manager
RolePrivilege,0,default_data:184,acctsummview,commissions_admin
RolePrivilege,0,default_data:185,acctsummview,finance_clerical
RolePrivilege,0,default_data:186,acctsummview,finance_manager
RolePrivilege,0,default_data:187,acctsummview,general_admin
RolePrivilege,0,default_data:188,acctsummview,plan_admin
RolePrivilege,0,default_data:189,acctsummview,rule_admin
RolePrivilege,0,default_data:190,acctsummview,superuser
RolePrivilege,0,default_data:191,acctsummview,underwriter
RolePrivilege,0,default_data:192,acctsummview,user_admin
RolePrivilege,0,default_data:193,accttabview,billing_clerical
RolePrivilege,0,default_data:194,accttabview,billing_manager
RolePrivilege,0,default_data:195,accttabview,commissions_admin
RolePrivilege,0,default_data:196,accttabview,finance_clerical
RolePrivilege,0,default_data:197,accttabview,finance_manager
RolePrivilege,0,default_data:198,accttabview,general_admin
RolePrivilege,0,default_data:199,accttabview,superuser
RolePrivilege,0,default_data:200,accttabview,underwriter
RolePrivilege,0,default_data:201,acctttktview,billing_clerical
RolePrivilege,0,default_data:202,acctttktview,billing_manager
RolePrivilege,0,default_data:203,acctttktview,commissions_admin
RolePrivilege,0,default_data:204,acctttktview,finance_clerical
